SampleName,SMILES,abs,DFT,dipole moment,Excitation energie,solvent,ODI_HOMO,ODI_LUMO,ODI_Mean,ODI_Std,HOMO,LUMO,HOMO_LUMO_Gap,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_L,Length_Ratio,ESPmin,ESPmax,Nu,Pi,MPI,Nonpolar_Area,Polar_Area
N7e,O=C(N(CC(C)C)C1=O)C2=C(OC3=CC=C(CC(C)C)C=C3)C=C4C5=C(C(N(CC(C)C)C4=O)=O)C(Br)=CC1=C52,429,428.18,3.9582,2.8956,1.9,10.05,5.27,6.8225,1.9721989630866357,-0.254862,-0.136002,0.11886,71,9.636,7.522,19.255,0.42927209898562035,-42.192,24.3726,0.15303322,0.01378822,0.40097239,64.75,35.25
N9e,O=C(C1=C2C(C=CC=C23)=C(N4CCNCC4)C=C1)N(CC(C)C)C3=O,387,447.98,4.2203,2.7676,1.9,9.11,6.67,12.855,7.95785618115834,-0.212545,-0.094249,0.118295,48,7.851,7.232,15.623,0.48316066182155554,-42.94325,37.34412,0.21431275,0.01932826,0.52411514,51.73,48.27
12e,CC(C(N)=C1)=CC(C1=N2)=NC3=C2C=C(N(C)C)C=C3,535,424.95,6.6882,2.9176,2.38,10.27,7.68,8.6825,1.282212443396179,-0.193199,-0.079875,0.113324,27,7.57,4.179,15.072,0.5495715587967184,-43.37042,46.80848,0.24325424,0.02396764,0.64841822,34.68,65.32
2e,CC(C)C(C=C1N/N=C/C2=C(O)C=CC=C2)=CC=C(I)C1=O,470,407.95,12.361,3.0392,2.38,7.39,7.19,8.3325,1.616885509243001,-0.196829,-0.07041,0.126419,36,7.949,6.74,15.858,0.4643087193300931,-52.92226,69.34494,0.24348644,0.01972765,0.53709944,48.46,51.54
37e,CC(/C(C1=O)=N\N(C2=CC=CC=C2)C)=NN1C3=CC=CC=C3,368,322.58,5.1913,3.8435,2.38,9.1,13.51,11.155,2.103241545804951,-0.213254,-0.086264,0.12699,33,7.608,6.862,15.068,0.49084630920581146,-57.10505,31.13353,0.19967285,0.02676135,0.72486993,32.99,67.01
38e,O=C(N1C/C=N/NC2=CC=C([N+]([O-])=O)C=C2[N+]([O-])=O)CCC1=O,427,369.8,5.9477,3.3528,2.38,11.57,9.78,14.682500000000001,6.323793857329633,-0.252839,-0.120458,0.13238,30,6.638,7.537,12.929,0.44865877780476804,-44.46903,70.47319,0.23831659,0.03202798,0.88915453,23.22,76.78
44e,O=C(N/N=C/C1=CC([N+]([O-])=O)=CC=C1)CCN(C2=C3C=CC=C2)C4=C(S3)C=CC=C4,318,295.97,12.394,4.189,2.38,10.47,16.63,11.995,2.679780774615714,-0.196018,-0.124787,0.071231,39,9.945,5.573,19.758,0.5341732453768789,-39.29082,67.58542,0.2307776,0.02364944,0.66033559,38.1,61.9
49e,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2CO)C=C1,522,430.92,15.7211,2.8772,2.38,8.83,11.14,15.2725,7.623376466500916,-0.197396,-0.081171,0.116225,33,7.983,4.181,15.84,0.5428189575408656,-34.0509,43.92678,0.24884436,0.02151634,0.58624639,35.74,64.26
4e,C1(/N=N/C2=CC=C(NC3=CC=CC=C3)C=C2)=CC=CC=C1,539,444.74,17.4335,444.74,2.38,7.58,10.86,13.79,9.20466729436757,-0.202206,-0.087308,0.114899,31,9.136,4.909,18.25,0.5904047102973052,-24.99342,50.80029,0.2224001,0.01682378,0.45770788,50.62,49.38
5e,CCN(C1=CC=C(/N=N/C2=CC=C(S(=O)(O)=O)C=C2)C=C1)CC,517,457.13,18.7886,2.7122,2.38,9.59,9.2,14.954999999999998,8.475766926951213,-0.207969,-0.099521,0.108448,24,9.329,5.993,18.366,0.5753218682454656,-42.74618,60.21093,0.22803551,0.0245322,0.6742119,36.26,63.74
N21e,O=C(C1=C2C(C3=CC(OCC(CCCC)CC)=C24)=C(C(N(CC(CC)CCCC)C3=O)=O)C(OCC(CCCC)CC)=C1)N(CC(CC)CCCC)C4=O,462,400.86,4.5861,3.093,1.9,6.81,5.26,6.3999999999999995,1.4424458395378317,-0.30549,-0.070049,0.235441,122,12.024,9.876,19.527,0.4080451363493888,-48.20779,22.09281,0.09834386,0.0103302,0.29316983,82.6,17.4
